price,rooms,floor,size_sqm,city
2492743,3,6,75,Ramat Gan
3034489,1,19,53,Beer Sheva
2370006,2,8,143,Ramat Gan
1936074,2,0,61,Beer Sheva
4844887,4,7,76,Tel Aviv
2039911,5,6,115,Jerusalem
2938242,3,17,52,Beer Sheva
2566891,1,7,95,Tel Aviv
4144769,4,0,56,Ramat Gan
1591743,5,10,135,Ramat Gan
903355,4,17,31,Tel Aviv
2062752,5,9,119,Ramat Gan
2196025,5,2,46,Tel Aviv
2107371,3,6,133,Beer Sheva
1717040,5,15,62,Beer Sheva
3053882,4,15,38,Tel Aviv
4330409,5,19,72,Beer Sheva
2300942,3,16,147,Beer Sheva
4075709,3,1,77,Beer Sheva
884654,4,0,68,Haifa
2754354,2,15,122,Jerusalem
3216182,2,11,71,Ramat Gan
4274675,5,4,148,Haifa
3452991,1,4,55,Beer Sheva
3228388,5,8,128,Tel Aviv
1328178,4,8,79,Beer Sheva
3463046,4,2,54,Jerusalem
3386644,4,18,53,Beer Sheva
3370406,4,15,42,Tel Aviv
4216664,4,15,89,Jerusalem
4185659,3,2,36,Beer Sheva
4185357,2,19,86,Jerusalem
3595513,4,0,65,Ramat Gan
2265689,1,19,74,Ramat Gan
868148,1,10,49,Beer Sheva
2625665,1,16,94,Jerusalem
3545683,1,7,37,Tel Aviv
4197723,3,3,139,Beer Sheva
3803758,1,5,45,Ramat Gan
4856518,4,7,43,Ramat Gan
3469995,5,19,105,Beer Sheva
2670928,1,2,144,Jerusalem
4955299,3,15,116,Ramat Gan
3357489,3,2,44,Jerusalem
2573415,1,17,121,Ramat Gan
3105413,5,13,127,Ramat Gan
4710197,1,17,95,Haifa
1071836,3,1,61,Ramat Gan
4384702,2,2,116,Tel Aviv
2895505,4,15,92,Beer Sheva
3099435,3,8,115,Beer Sheva
996769,1,3,80,Jerusalem
3458505,4,0,54,Ramat Gan
2071741,1,3,87,Tel Aviv
4569315,1,0,92,Jerusalem
1846797,2,13,91,Haifa
3847262,4,15,51,Jerusalem
2384398,4,19,87,Jerusalem
3385031,2,7,87,Ramat Gan
1364685,3,6,115,Haifa
3679190,1,2,78,Jerusalem
2111736,5,16,81,Tel Aviv
1807293,1,0,71,Tel Aviv
4166612,1,15,99,Beer Sheva
823247,3,11,44,Haifa
3504238,1,18,83,Haifa
3430708,2,13,136,Beer Sheva
4294679,2,5,89,Jerusalem
2567640,4,5,130,Haifa
3413740,5,12,126,Tel Aviv
2085160,1,18,37,Tel Aviv
2225472,1,7,82,Ramat Gan
848984,3,1,89,Haifa
3200070,2,0,137,Jerusalem
4065879,5,14,137,Beer Sheva
2304384,4,0,34,Beer Sheva
3030919,2,4,132,Jerusalem
2552126,4,15,97,Ramat Gan
2537095,3,18,35,Beer Sheva
2911138,3,3,138,Haifa
2909818,1,2,125,Ramat Gan
3031785,5,16,145,Haifa
3748089,4,16,123,Tel Aviv
3525928,2,11,76,Ramat Gan
4653339,3,13,128,Beer Sheva
2643400,1,5,84,Ramat Gan
1879111,1,2,69,Ramat Gan
1796107,4,8,81,Ramat Gan
4321441,3,4,45,Ramat Gan
2670230,5,16,42,Haifa
4547389,3,13,143,Tel Aviv
4942807,4,2,135,Jerusalem
4402279,4,0,59,Ramat Gan
2921690,3,19,48,Beer Sheva
3791650,4,0,46,Ramat Gan
1291234,3,2,149,Beer Sheva
2748260,2,17,92,Haifa
2321101,3,9,48,Beer Sheva
3936729,3,2,121,Jerusalem
1697421,4,7,87,Tel Aviv
